,ngram,NEG,NEUT,POS
699,까무러칠,1.0,0.0,0.0
700,까무러칠,1.0,0.0,0.0
701,듯,1.0,0.0,0.0
702,까무러칠,1.0,0.0,0.0
703,듯이,1.0,0.0,0.0
704,까무러칠,1.0,0.0,0.0
705,듯하게,1.0,0.0,0.0
706,까무러칠,1.0,0.0,0.0
707,듯하다,1.0,0.0,0.0
708,까무러칠,1.0,0.0,0.0
709,듯한,1.0,0.0,0.0
710,깎아내려,1.0,0.0,0.0
711,헐뜯음,1.0,0.0,0.0
712,깔깔하며,1.0,0.0,0.0
713,거북하고,1.0,0.0,0.0
714,깔보면서,1.0,0.0,0.0
715,놀리다,1.0,0.0,0.0
716,깔보아,1.0,0.0,0.0
717,업신여기다,1.0,0.0,0.0
718,깔보아,1.0,0.0,0.0
719,업신여김,1.0,0.0,0.0
720,깜찍스럽게,1.0,0.0,0.0
721,지껄이며,1.0,0.0,0.0
722,꺼려지거나,1.0,0.0,0.0
723,꺼리는,1.0,0.0,0.0
724,꺼리는,1.0,0.0,0.0
725,날,1.0,0.0,0.0
726,꺼리는,1.0,0.0,0.0
727,마음으로,1.0,0.0,0.0
728,꺼리다,1.0,0.0,0.0
729,꺼리어,1.0,0.0,0.0
730,꺼리어,1.0,0.0,0.0
731,피하거나,1.0,0.0,0.0
732,꺼린다,1.0,0.0,0.0
733,꺼림,1.0,0.0,0.0
734,꺼림칙하고,1.0,0.0,0.0
